META,inlet_choked,dpump_only_choked_inlet_the_betterOne
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa,dht_temp_C,dht_humidity
DATA,94022,100,0,1238.62, 23.17,1010.57,NaN,NaN
DATA,95023,100,0,1249.48, 23.18,1010.61,NaN,NaN
DATA,96022,100,0,1260.35, 23.18,1010.57,NaN,NaN
DATA,97022,100,0,1271.21, 23.18,1010.59,NaN,NaN
DATA,98023,100,0,1287.50, 23.17,1010.61,NaN,NaN
DATA,99022,100,0,1298.36, 23.18,1010.58,NaN,NaN
DATA,100023,100,0,1309.22, 23.18,1010.58,NaN,NaN
DATA,101022,100,0,1325.51, 23.17,1010.59,NaN,NaN
DATA,102023,100,0,1330.94, 23.17,1010.58,NaN,NaN
DATA,103022,100,0,1347.24, 23.17,1010.59,NaN,NaN
DATA,104023,100,0,1363.53, 23.17,1010.61,NaN,NaN
DATA,105023,100,0,1374.39, 23.17,1010.62,NaN,NaN
DATA,106022,100,0,1385.25, 23.17,1010.60,NaN,NaN
DATA,107023,100,0,1401.54, 23.17,1010.60,NaN,NaN
DATA,108022,100,0,1412.40, 23.17,1010.60,NaN,NaN
DATA,109023,100,0,1423.26, 23.17,1010.60,NaN,NaN
DATA,110022,100,0,1434.13, 23.17,1010.61,NaN,NaN
DATA,111023,100,0,1450.42, 23.17,1010.61,NaN,NaN
DATA,112022,100,0,1455.85, 23.17,1010.61,NaN,NaN
DATA,113022,100,0,1477.57, 23.17,1010.63,NaN,NaN
DATA,114023,100,0,1488.43, 23.17,1010.62,NaN,NaN
DATA,115022,100,0,1499.29, 23.17,1010.60,NaN,NaN
DATA,116023,100,0,1510.16, 23.17,1010.61,NaN,NaN
DATA,117022,100,0,1526.45, 23.17,1010.60,NaN,NaN
DATA,118023,100,0,1537.31, 23.16,1010.59,NaN,NaN
DATA,119022,100,0,1548.17, 23.16,1010.61,NaN,NaN
DATA,120023,100,0,1553.60, 23.17,1010.63,NaN,NaN
DATA,121023,100,0,1575.32, 23.17,1010.59,NaN,NaN
DATA,122022,100,0,1586.18, 23.16,1010.61,NaN,NaN
DATA,123023,100,0,1597.05, 23.17,1010.61,NaN,NaN
DATA,124022,100,0,1607.91, 23.17,1010.62,NaN,NaN
DATA,125023,100,0,1613.34, 23.17,1010.65,NaN,NaN
DATA,126022,100,0,1635.06, 23.16,1010.61,NaN,NaN
DATA,127023,100,0,1651.35, 23.17,1010.62,NaN,NaN
DATA,128022,100,0,1662.21, 23.16,1010.60,NaN,NaN
DATA,129022,100,0,1673.07, 23.17,1010.64,NaN,NaN
DATA,130023,100,0,1700.23, 23.17,1010.63,NaN,NaN
DATA,131022,100,0,1700.23, 23.16,1010.58,NaN,NaN
DATA,132023,100,0,1711.09, 23.16,1010.62,NaN,NaN
DATA,133022,100,0,1721.95, 23.17,1010.62,NaN,NaN
DATA,134023,100,0,1732.81, 23.16,1010.60,NaN,NaN
DATA,135022,100,0,1749.10, 23.16,1010.59,NaN,NaN
DATA,136023,100,0,1759.97, 23.16,1010.61,NaN,NaN
DATA,137023,100,0,1776.26, 23.16,1010.62,NaN,NaN
DATA,138022,100,0,1787.12, 23.16,1010.60,NaN,NaN
DATA,139023,100,0,1797.98, 23.16,1010.61,NaN,NaN
DATA,140022,100,0,1808.84, 23.16,1010.60,NaN,NaN
DATA,141023,100,0,1825.13, 23.16,1010.62,NaN,NaN
DATA,142022,100,0,1835.99, 23.16,1010.64,NaN,NaN
DATA,143023,100,0,1846.86, 23.16,1010.60,NaN,NaN
DATA,144022,100,0,1846.86, 23.16,1010.62,NaN,NaN
DATA,145022,100,0,1879.44, 23.16,1010.61,NaN,NaN
DATA,146023,100,0,1884.87, 23.16,1010.62,NaN,NaN
DATA,147022,100,0,1901.16, 23.16,1010.63,NaN,NaN
DATA,148023,100,0,1912.02, 23.16,1010.62,NaN,NaN
DATA,149022,100,0,1922.88, 23.16,1010.60,NaN,NaN
DATA,150023,100,0,1939.18, 23.16,1010.63,NaN,NaN
DATA,151022,100,0,1950.04, 23.16,1010.63,NaN,NaN
DATA,152023,100,0,1960.90, 23.16,1010.65,NaN,NaN
DATA,153023,100,0,1971.76, 23.16,1010.64,NaN,NaN
DATA,154022,100,0,1982.62, 23.16,1010.62,NaN,NaN
DATA,155023,100,0,1998.91, 23.16,1010.64,NaN,NaN
DATA,156022,100,0,2009.78, 23.16,1010.62,NaN,NaN
DATA,157023,100,0,2020.64, 23.16,1010.61,NaN,NaN
DATA,158022,100,0,2036.93, 23.16,1010.66,NaN,NaN
DATA,159023,100,0,2053.22, 23.16,1010.61,NaN,NaN
DATA,160022,100,0,2058.65, 23.16,1010.62,NaN,NaN
DATA,161022,100,0,2074.94, 23.15,1010.62,NaN,NaN
DATA,162023,100,0,2085.80, 23.15,1010.61,NaN,NaN
DATA,163022,0,0,2085.80, 23.16,1010.61,NaN,NaN
DATA,164023,0,0,2085.80, 23.16,1010.62,NaN,NaN
DATA,165022,0,0,2085.80, 23.16,1010.64,NaN,NaN
DATA,166023,0,0,2080.37, 23.16,1010.61,NaN,NaN
DATA,167022,0,0,1749.10, 23.15,1010.62,NaN,NaN
DATA,168023,0,0,1309.22, 23.16,1010.60,NaN,NaN
DATA,169023,0,0,342.57, 23.15,1010.62,NaN,NaN
DATA,170022,0,0,-15.86, 23.15,1010.63,NaN,NaN
DATA,171023,0,0,-15.86, 23.16,1010.58,NaN,NaN
DATA,172022,0,0,-15.86, 23.16,1010.62,NaN,NaN
DATA,173023,0,0,-15.86, 23.15,1010.58,NaN,NaN
DATA,174022,0,0,-15.86, 23.15,1010.63,NaN,NaN
DATA,175023,0,0,-15.86, 23.15,1010.62,NaN,NaN
DATA,176022,0,0,-10.43, 23.15,1010.61,NaN,NaN
DATA,177022,0,0,-10.43, 23.16,1010.64,NaN,NaN
DATA,178023,0,0,-10.43, 23.15,1010.60,NaN,NaN
DATA,179022,0,0,-10.43, 23.16,1010.60,NaN,NaN
DATA,180023,0,0,-10.43, 23.15,1010.64,NaN,NaN
DATA,181022,0,0,-10.43, 23.15,1010.64,NaN,NaN
DATA,182023,0,0,-10.43, 23.15,1010.62,NaN,NaN
DATA,183022,50,0,114.48, 23.15,1010.62,NaN,NaN
DATA,184023,50,0,130.77, 23.15,1010.63,NaN,NaN
DATA,185023,50,0,147.06, 23.15,1010.64,NaN,NaN
DATA,186022,50,0,157.92, 23.15,1010.60,NaN,NaN
DATA,187023,50,0,168.78, 23.15,1010.61,NaN,NaN
DATA,188022,50,0,179.65, 23.15,1010.60,NaN,NaN
DATA,189023,50,0,195.94, 23.15,1010.61,NaN,NaN
DATA,190022,50,0,206.80, 23.15,1010.62,NaN,NaN
DATA,191023,50,0,217.66, 23.15,1010.61,NaN,NaN
DATA,192022,50,0,233.95, 23.15,1010.62,NaN,NaN
DATA,193022,50,0,244.81, 23.15,1010.63,NaN,NaN
DATA,194023,50,0,255.68, 23.15,1010.61,NaN,NaN
DATA,195022,50,0,266.54, 23.15,1010.64,NaN,NaN
DATA,196023,50,0,282.83, 23.15,1010.60,NaN,NaN
DATA,197022,50,0,293.69, 23.15,1010.63,NaN,NaN
DATA,198023,50,0,309.98, 23.15,1010.61,NaN,NaN
DATA,199022,50,0,320.84, 23.15,1010.63,NaN,NaN
DATA,200023,50,0,331.70, 23.15,1010.63,NaN,NaN
DATA,201023,50,0,342.57, 23.14,1010.62,NaN,NaN
DATA,202022,50,0,358.86, 23.15,1010.64,NaN,NaN
DATA,203023,50,0,369.72, 23.15,1010.62,NaN,NaN
DATA,204022,50,0,386.01, 23.15,1010.61,NaN,NaN
DATA,205023,50,0,396.87, 23.15,1010.61,NaN,NaN
DATA,206022,50,0,407.73, 23.14,1010.62,NaN,NaN
DATA,207023,50,0,418.59, 23.14,1010.62,NaN,NaN
DATA,208022,50,0,434.89, 23.14,1010.61,NaN,NaN
DATA,209022,50,0,456.61, 23.15,1010.61,NaN,NaN
DATA,210023,50,0,462.04, 23.14,1010.63,NaN,NaN
DATA,211022,50,0,472.90, 23.14,1010.61,NaN,NaN
DATA,212023,50,0,483.76, 23.15,1010.62,NaN,NaN
DATA,213022,50,0,494.62, 23.15,1010.61,NaN,NaN
DATA,214023,50,0,510.92, 23.14,1010.59,NaN,NaN
DATA,215022,50,0,521.78, 23.14,1010.56,NaN,NaN
DATA,216023,50,0,532.64, 23.14,1010.57,NaN,NaN
DATA,217023,50,0,554.36, 23.14,1010.59,NaN,NaN
DATA,218022,50,0,559.79, 23.14,1010.61,NaN,NaN
DATA,219023,50,0,576.08, 23.14,1010.62,NaN,NaN
DATA,220022,50,0,586.94, 23.14,1010.60,NaN,NaN
DATA,221023,50,0,597.81, 23.14,1010.61,NaN,NaN
DATA,222022,50,0,608.67, 23.14,1010.62,NaN,NaN
DATA,223023,50,0,619.53, 23.14,1010.60,NaN,NaN
DATA,224022,50,0,635.82, 23.14,1010.62,NaN,NaN
DATA,225022,50,0,646.68, 23.14,1010.61,NaN,NaN
DATA,226023,50,0,662.97, 23.14,1010.62,NaN,NaN
DATA,227022,50,0,673.84, 23.14,1010.62,NaN,NaN
DATA,228023,50,0,684.70, 23.14,1010.61,NaN,NaN
DATA,229022,50,0,695.56, 23.14,1010.61,NaN,NaN
DATA,230023,50,0,711.85, 23.14,1010.65,NaN,NaN
DATA,231022,50,0,722.71, 23.15,1010.64,NaN,NaN
DATA,232023,50,0,733.57, 23.13,1010.61,NaN,NaN
DATA,233023,50,0,749.86, 23.14,1010.61,NaN,NaN
DATA,234022,50,0,760.73, 23.14,1010.61,NaN,NaN
DATA,235023,50,0,771.59, 23.14,1010.60,NaN,NaN
DATA,236022,50,0,787.88, 23.13,1010.62,NaN,NaN
DATA,237023,50,0,798.74, 23.14,1010.66,NaN,NaN
DATA,238022,50,0,815.03, 23.13,1010.61,NaN,NaN
DATA,239023,50,0,820.46, 23.14,1010.63,NaN,NaN
DATA,240022,50,0,836.75, 23.14,1010.65,NaN,NaN
DATA,241022,50,0,853.05, 23.14,1010.67,NaN,NaN
DATA,242023,50,0,863.91, 23.14,1010.64,NaN,NaN
DATA,243022,50,0,874.77, 23.13,1010.65,NaN,NaN
DATA,244023,50,0,885.63, 23.13,1010.65,NaN,NaN
DATA,245022,50,0,901.92, 23.14,1010.63,NaN,NaN
DATA,246023,50,0,912.78, 23.14,1010.64,NaN,NaN
DATA,247022,50,0,923.65, 23.14,1010.67,NaN,NaN
DATA,248023,50,0,939.94, 23.14,1010.62,NaN,NaN
DATA,249023,50,0,950.80, 23.14,1010.68,NaN,NaN
DATA,250022,50,0,961.66, 23.13,1010.63,NaN,NaN
DATA,251023,50,0,977.95, 23.14,1010.66,NaN,NaN
DATA,252022,50,0,988.81, 23.13,1010.63,NaN,NaN
DATA,253023,50,0,999.67, 23.13,1010.64,NaN,NaN
DATA,254022,50,0,1010.54, 23.14,1010.62,NaN,NaN
DATA,255023,50,0,1021.40, 23.13,1010.64,NaN,NaN
DATA,256022,50,0,1037.69, 23.13,1010.65,NaN,NaN
DATA,257022,50,0,1053.98, 23.13,1010.64,NaN,NaN
DATA,258023,50,0,1059.41, 23.13,1010.67,NaN,NaN
DATA,259022,50,0,1075.70, 23.13,1010.64,NaN,NaN
DATA,260023,50,0,1086.56, 23.13,1010.63,NaN,NaN
DATA,261022,50,0,1097.43, 23.13,1010.66,NaN,NaN
DATA,262023,50,0,1113.72, 23.13,1010.64,NaN,NaN
DATA,263022,50,0,1124.58, 23.13,1010.64,NaN,NaN
DATA,264023,50,0,1140.87, 23.13,1010.65,NaN,NaN
DATA,265023,50,0,1151.73, 23.13,1010.69,NaN,NaN
DATA,266022,50,0,1162.59, 23.13,1010.67,NaN,NaN
DATA,267023,50,0,1173.46, 23.13,1010.66,NaN,NaN
