META,inlet_choked,full_system_choked_inlet_TheBetterOne_manualOutlet
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa,dht_temp_C,dht_humidity
DATA,95023,100,17,1417.83, 23.10,1020.79,NaN,NaN
DATA,96022,100,17,1417.83, 23.10,1019.21,NaN,NaN
DATA,97022,100,17,1434.13, 23.10,1020.95,NaN,NaN
DATA,98023,100,17,1423.26, 23.10,1022.41,NaN,NaN
DATA,99022,100,17,1461.28, 23.10,1021.85,NaN,NaN
DATA,100023,100,17,1461.28, 23.11,1021.09,NaN,NaN
DATA,101022,100,17,1439.56, 23.11,1022.57,NaN,NaN
DATA,102023,100,17,1401.54, 23.10,1023.08,NaN,NaN
DATA,103022,100,17,1510.16, 23.10,1025.39,NaN,NaN
DATA,104023,100,17,1515.59, 23.10,1025.48,NaN,NaN
DATA,105023,100,17,1526.45, 23.10,1028.80,NaN,NaN
DATA,106022,100,17,1526.45, 23.10,1030.61,NaN,NaN
DATA,107023,100,17,1553.60, 23.11,1032.06,NaN,NaN
DATA,108022,100,17,1531.88, 23.11,1032.60,NaN,NaN
DATA,109023,100,17,1564.46, 23.10,1033.72,NaN,NaN
DATA,110022,100,17,1569.89, 23.11,1034.33,NaN,NaN
DATA,111023,100,17,1564.46, 23.11,1036.59,NaN,NaN
DATA,112022,100,17,1602.48, 23.11,1037.08,NaN,NaN
DATA,113022,100,17,1607.91, 23.11,1037.31,NaN,NaN
DATA,114023,100,17,1597.05, 23.11,1039.97,NaN,NaN
DATA,115022,100,17,1618.77, 23.10,1039.81,NaN,NaN
DATA,116023,100,17,1607.91, 23.11,1042.46,NaN,NaN
DATA,117022,100,17,1466.71, 23.11,1042.92,NaN,NaN
DATA,118023,100,17,1548.17, 23.10,1043.84,NaN,NaN
DATA,119022,100,17,1651.35, 23.11,1043.83,NaN,NaN
DATA,120023,100,17,1673.07, 23.11,1047.00,NaN,NaN
DATA,121023,100,17,1667.64, 23.11,1047.17,NaN,NaN
DATA,122022,100,17,1673.07, 23.11,1049.15,NaN,NaN
DATA,123023,100,17,1689.37, 23.11,1049.24,NaN,NaN
DATA,124022,100,17,1673.07, 23.11,1050.84,NaN,NaN
DATA,125023,100,17,1689.37, 23.11,1051.79,NaN,NaN
DATA,126022,100,17,1689.37, 23.11,1052.56,NaN,NaN
DATA,127023,100,17,1694.80, 23.11,1054.02,NaN,NaN
DATA,128022,100,17,1727.38, 23.11,1055.69,NaN,NaN
DATA,129022,100,17,1738.24, 23.11,1056.07,NaN,NaN
DATA,130023,100,17,1749.10, 23.11,1056.56,NaN,NaN
DATA,131022,100,17,1754.53, 23.11,1056.62,NaN,NaN
DATA,132023,100,17,1743.67, 23.11,1056.62,NaN,NaN
DATA,133022,100,17,1667.64, 23.11,1056.58,NaN,NaN
DATA,134023,100,17,1629.63, 23.10,1057.72,NaN,NaN
DATA,135022,100,17,1776.26, 23.11,1057.52,NaN,NaN
DATA,136023,100,17,1759.97, 23.11,1059.96,NaN,NaN
DATA,137023,100,17,1781.69, 23.11,1060.53,NaN,NaN
DATA,138022,100,17,1803.41, 23.11,1060.16,NaN,NaN
DATA,139023,100,17,1803.41, 23.11,1061.85,NaN,NaN
DATA,140022,100,17,1797.98, 23.11,1062.96,NaN,NaN
DATA,141023,100,17,1808.84, 23.11,1062.30,NaN,NaN
DATA,142022,100,17,1814.27, 23.11,1063.97,NaN,NaN
DATA,143023,100,17,1835.99, 23.11,1063.82,NaN,NaN
DATA,144022,100,17,1841.43, 23.11,1065.06,NaN,NaN
DATA,145022,100,17,1884.87, 23.10,1065.96,NaN,NaN
DATA,146023,100,17,1874.01, 23.10,1065.69,NaN,NaN
DATA,147022,100,17,1890.30, 23.11,1066.43,NaN,NaN
