META,inlet_choked,only_compressor_manual_outlet 
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa,dht_temp_C,dht_humidity
DATA,92019,0,100,3666.12,  0.00,  0.00,NaN,NaN
DATA,93020,0,100,3709.57,  0.00,  0.00,NaN,NaN
DATA,94019,0,100,3687.85,  0.00,  0.00,NaN,NaN
DATA,95020,0,100,3687.85,  0.00,  0.00,NaN,NaN
DATA,96019,0,100,3742.15,  0.00,  0.00,NaN,NaN
DATA,97019,0,100,3731.29,  0.00,  0.00,NaN,NaN
DATA,98020,0,100,3742.15,  0.00,  0.00,NaN,NaN
DATA,99019,0,100,3720.43,  0.00,  0.00,NaN,NaN
DATA,100020,0,100,3769.31,  0.00,  0.00,NaN,NaN
DATA,101019,0,100,3742.15,  0.00,  0.00,NaN,NaN
DATA,102020,0,100,3818.18,  0.00,  0.00,NaN,NaN
DATA,103019,0,100,3791.03,  0.00,  0.00,NaN,NaN
DATA,104019,0,100,3769.31,  0.00,  0.00,NaN,NaN
DATA,105020,0,100,3812.75,  0.00,  0.00,NaN,NaN
DATA,106019,0,100,3801.89,  0.00,  0.00,NaN,NaN
DATA,107020,0,100,3774.74,  0.00,  0.00,NaN,NaN
DATA,108019,0,100,3818.18,  0.00,  0.00,NaN,NaN
DATA,109020,0,100,3774.74,  0.00,  0.00,NaN,NaN
DATA,110019,0,100,3856.20,  0.00,  0.00,NaN,NaN
DATA,111020,0,100,3883.35,  0.00,  0.00,NaN,NaN
DATA,112019,0,100,3953.95,  0.00,  0.00,NaN,NaN
DATA,113019,0,100,3856.20,  0.00,  0.00,NaN,NaN
DATA,114020,0,100,3905.07,  0.00,  0.00,NaN,NaN
DATA,115019,0,100,3877.92,  0.00,  0.00,NaN,NaN
DATA,116020,0,100,3877.92,  0.00,  0.00,NaN,NaN
DATA,117019,0,100,3861.63,  0.00,  0.00,NaN,NaN
DATA,118020,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,119019,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,120019,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,121020,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,122019,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,123020,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,124019,0,0,3905.07,  0.00,  0.00,NaN,NaN
DATA,125020,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,126019,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,127020,0,0,3905.07,  0.00,  0.00,NaN,NaN
DATA,128019,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,129019,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,130020,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,131019,0,0,3905.07,  0.00,  0.00,NaN,NaN
DATA,132020,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,133019,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,134020,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,135019,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,136019,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,137020,0,0,3905.07,  0.00,  0.00,NaN,NaN
DATA,138019,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,139020,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,140019,0,0,3910.50,  0.00,  0.00,NaN,NaN
DATA,141020,0,0,3905.07,  0.00,  0.00,NaN,NaN
DATA,142019,0,0,3910.50,  0.00,  0.00,NaN,NaN
